Disc,Education,Job_Name,jobs
"<p>Training and development managers oversee staff and plan, direct, and coordinate programs to enhance the knowledge and skills of an organization’s employees.</p>,<p>Training and development managers typically do the following:</p>,<p>Training and development managers oversee training programs, staff, and budgets. They are responsible for creating or selecting course content and materials for training programs. Training may be in the form of a video, self-guided instructional manual, or online application and delivered in-person or through a computer, tablet, or other hand-held electronic device. Training may also be collaborative, with employees informally connecting with experts, mentors, and colleagues, often through social media or other online mediums. Managers must ensure that training methods, content, software, systems, and equipment are appropriate and meaningful.</p>,<p>Training and development managers typically supervise a staff of <a href=""/ooh/business-and-financial/training-and-development-specialists.htm""><u>training and development specialists</u></a>, such as instructional designers, program developers, and instructors. Managers teach training methods to specialists who, in turn, instruct the organization’s employees—both new and experienced. Managers direct the daily activities of specialists and evaluate their effectiveness. Although most managers primarily oversee specialists and training and development program operations, some—particularly those in smaller companies—may also conduct training courses.</p>,<p>Training and development managers often confer with managers of other departments to identify training needs. They may work with <a href=""/ooh/management/top-executives.htm""><u>top executives</u></a> and financial officers to identify and match training priorities with overall business goals. They also prepare training budgets and ensure that expenses stay within budget.</p>",    Bachelor's degree,    Training and Development Managers,"<li>Oversee training and development staff</li>,<li>Assess employees’ needs for training</li>,<li>Align training with the organization’s strategic goals</li>,<li>Create and manage training budgets</li>,<li>Develop and implement training programs that make the best use of available resources</li>,<li>Review and select training materials from a variety of vendors</li>,<li>Update training programs to ensure that they are relevant</li>,<li>Teach training methods and skills to instructors and supervisors</li>,<li>Evaluate the effectiveness of training programs and instructors</li>"
"<p>Human resources managers plan, direct, and coordinate the administrative functions of an organization. They oversee the recruiting, interviewing, and hiring of new staff; consult with top executives on strategic planning; and serve as a link between an organization’s management and its employees.</p>,<p>Human resources managers typically do the following:</p>,<p>Every organization wants to attract, motivate, and keep qualified employees and match them to jobs for which they are well-suited. Human resources managers accomplish this aim by directing the administrative functions of human resources departments. Their work involves overseeing employee relations, securing regulatory compliance, and administering employee-related services such as payroll, training, and benefits. They supervise the department’s specialists and support staff and make sure that tasks are completed accurately and on time.</p>,<p>Human resources managers also consult with <a href=""/ooh/management/top-executives.htm""><u>top executives</u></a> regarding the organization’s strategic planning and talent management issues. They identify ways to maximize the value of the organization’s employees and ensure that they are used as efficiently as possible. For example, they might assess worker productivity and recommend changes to the organization’s structure to help the organization meet budgetary goals.</p>,<p>Some human resources managers oversee all aspects of an organization’s human resources department, including the compensation and benefits program and the training and development program. In many larger organizations, these programs are directed by specialized managers, such as <a href=""/ooh/management/compensation-and-benefits-managers.htm""><u>compensation and benefits managers</u></a> and <a href=""/ooh/management/training-and-development-managers.htm""><u>training and development managers</u></a>.</p>,<p>The following are examples of types of human resources managers:</p>,<p><strong><em>Labor relations directors</em></strong>, also called <strong><em>employee relations managers</em></strong>, oversee employment policies in union and nonunion settings. They draw up, negotiate, and administer labor contracts that cover issues such as grievances, wages, benefits, and union and management practices. They also handle labor complaints between employees and management, and they coordinate grievance procedures.</p>,<p><strong><em>Payroll managers</em></strong> supervise the operations of an organization’s payroll department. They ensure that all aspects of payroll are processed correctly and on time. They administer payroll procedures, prepare reports for the accounting department, and resolve any payroll problems or discrepancies.</p>,<p><strong><em>Recruiting managers</em></strong>, sometimes called <strong><em>staffing managers</em></strong>, oversee the recruiting and hiring responsibilities of the human resources department. They often supervise a team of recruiters, and some take on recruiting duties when they try to fill high-level positions. They must develop a recruiting strategy that helps them meet the staffing needs of their organization and compete effectively for the best employees.</p>",    Bachelor's degree,    Human Resources Managers,"<li>Plan and coordinate an organization’s workforce to best use employees’ talents</li>,<li>Link an organization’s management with its employees</li>,<li>Plan and oversee employee benefit programs</li>,<li>Serve as a consultant with other managers advising them on human resources issues, such as equal employment opportunity and sexual harassment</li>,<li>Coordinate and supervise the work of specialists and support staff</li>,<li>Oversee an organization’s recruitment, interview, selection, and hiring processes</li>,<li>Handle staffing issues, such as mediating disputes and directing disciplinary procedures</li>"
"<p>Postal service workers sell postal products and collect, sort, and deliver mail.</p>,<p>Postal service workers typically do the following:</p>,<p>Postal service workers receive and process mail for delivery to homes, businesses, and post office boxes. Workers are classified based on the type of work they perform.</p>,<p>The following are examples of types of postal service workers:</p>,<p><strong><em>Postal service clerks</em></strong> sell stamps, money orders, postal stationery, mailing envelopes, and boxes in post offices throughout the country. These workers register, certify, and insure mail, calculate and collect postage, and answer questions about other postal matters. They also may help sort mail.</p>,<p><strong><em>Postal service mail carriers</em></strong> deliver mail to homes and businesses in cities, towns, and rural areas. Most travel established routes, delivering and collecting mail. Mail carriers cover their routes by foot, vehicle, or a combination of both. Some mail carriers collect money for postage due. Others, particularly in rural areas, sell postal products, such as stamps and money orders. All mail carriers must be able to answer customers’ questions about postal regulations and services and, upon request, provide change-of-address cards and other postal forms.</p>,<p><strong><em>Postal service mail sorters, processors, and processing machine operators</em></strong> prepare incoming and outgoing mail for distribution at post offices and mail processing centers. They load and unload postal trucks and move mail around processing centers. They also operate and adjust mail processing and sorting machinery.</p>",    High school diploma or equivalent,    Postal Service Workers,"<li>Collect letters and parcels</li>,<li>Sort incoming letters and parcels</li>,<li>Sell stamps and other postal products</li>,<li>Get customer signatures for registered, certified, and insured mail</li>,<li>Operate various types of postal equipment</li>,<li>Distribute incoming mail from postal trucks</li>"
"<p>Sales managers direct organizations' sales teams. They set sales goals, analyze data, and develop training programs for organizations’ sales representatives.</p>,<p>Sales managers typically do the following:</p>,<p>Sales managers’ responsibilities vary with the size of their organizations. However, most sales managers direct the distribution of goods and services by assigning sales territories, setting sales goals, and establishing training programs for the organization’s sales representatives.</p>,<p>Sales managers recruit, hire, and train new members of the sales staff, including <a href=""/ooh/sales/retail-sales-workers.htm""><u>retail sales workers</u></a> and <a href=""/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm""><u>wholesale and manufacturing sales representatives</u></a>.</p>,<p>Sales managers advise sales representatives on ways to improve their sales performance. In large multiproduct organizations, they oversee regional and local sales managers and their staffs.</p>,<p>Sales managers also stay in contact with dealers and distributors. They analyze sales statistics generated from their staff to determine the sales potential and inventory requirements of products and stores and to monitor customers' preferences.</p>,<p>Sales managers work closely with managers from other departments in the organization. For example, the marketing department identifies new customers that the sales department can target. The relationship between these two departments is critical to helping an organization expand its client base. Sales managers also work closely with research and design departments because they know customers’ preferences, and with warehousing departments because they know inventory needs.</p>,<p>Sales managers are increasingly using data on customer shopping habits to identify potential customers more effectively. This allows them more time to facilitate sales through customized sales pitches to individual customers.</p>,<p>The following are examples of types of sales managers:</p>,<p><strong><em>Business to business </em></strong>(B2B) sales managers oversee sales from one business to another. These managers may work for a manufacturer selling to a wholesaler, or a wholesaler selling to a retailer. Examples of these workers include sales managers overseeing sales of software to business firms, and sales managers overseeing wholesale food sales to grocery stores.</p>,<p><strong><em>Business to consumer</em></strong> (B2C) sales managers oversee direct sales between businesses and individual consumers. These managers typically work in retail settings. Examples of these workers include sales managers of automobile dealerships and department stores.</p>",    Bachelor's degree,    Sales Managers,"<li>Resolve customer complaints regarding sales and service</li>,<li>Prepare budgets and approve expenditures</li>,<li>Monitor customer preferences to determine the focus of sales efforts</li>,<li>Analyze sales statistics</li>,<li>Project sales and determine the profitability of products and services</li>,<li>Determine discount rates or special pricing plans</li>,<li>Develop plans to acquire new customers or clients through direct sales techniques, cold calling, and business-to-business marketing visits</li>,<li>Assign sales territories and set sales quotas</li>,<li>Plan and coordinate training programs for sales staff</li>"
"<p>Optometrists examine the eyes and other parts of the visual system. They also diagnose and treat visual problems and manage diseases, injuries, and other disorders of the eyes. They prescribe eyeglasses or contact lenses as needed.</p>,<p>Optometrists typically do the following:</p>,<p>Some optometrists spend much of their time providing specialized care, particularly if they are working in a group practice with other optometrists or physicians. For example, some optometrists mostly treat patients with only partial sight, a condition known as low vision. Others may focus on treating infants and children.</p>,<p>Optometrists promote eye health and counsel patients on how general health can affect eyesight. For example, they may counsel patients on how quitting smoking or losing weight can reduce vision problems.</p>,<p>Many optometrists own their practice, and those who do may spend more time on general business activities, such as hiring employees, ordering supplies, and marketing their business.</p>,<p>Optometrists also may work as <a href=""/ooh/education-training-and-library/postsecondary-teachers.htm""><u>postsecondary teachers</u></a>, do research in optometry colleges, or work as consultants in the eye care industry.</p>,<p>Optometrists should not be confused with ophthalmologists or <a href=""/ooh/healthcare/opticians-dispensing.htm""><u>opticians</u></a>. Ophthalmologists are physicians who perform eye surgery and treat eye diseases in addition to performing eye exams and prescribing eyeglasses and contact lenses. For more information on ophthalmologists, see the <a href=""/ooh/healthcare/physicians-and-surgeons.htm""><u>physicians and surgeons</u></a> profile. Opticians fit and adjust eyeglasses and, in some states, fill contact lens prescriptions that an optometrist or ophthalmologist has written.</p>",    Doctoral or professional degree,    Optometrists,"<li>Perform vision tests and analyze results</li>,<li>Diagnose sight problems, such as nearsightedness or farsightedness, and eye diseases, such as glaucoma</li>,<li>Prescribe eyeglasses, contact lenses, and other visual aids, and if state law permits, medications</li>,<li>Perform minor surgical procedures to correct or treat visual or eye health issues</li>,<li>Provide treatments such as vision therapy or low-vision rehabilitation</li>,<li>Provide pre- and postoperative care to patients undergoing eye surgery—for example, examining a patient’s eyes the day after surgery</li>,<li>Evaluate patients for the presence of other diseases and conditions, such as diabetes or hypertension, and refer patients to other healthcare providers as needed</li>,<li>Promote eye and general health by counseling patients</li>"
"<p>Radiation therapists treat cancer and other diseases in patients by administering radiation treatments.</p>,<p>Radiation therapists typically do the following:</p>,<p>Radiation therapists operate machines, such as linear accelerators, to deliver concentrated radiation therapy to the region of a patient’s tumor. Radiation treatment can shrink or remove cancers and tumors.</p>,<p>Radiation therapists are part of the oncology teams that treat patients with cancer. They often work with the following specialists:</p>",    Associate's degree,    Radiation Therapists,"<li>Explain treatment plans to the patient and answer questions about treatment</li>,<li>Protect the patients and themselves from improper exposure to radiation</li>,<li>Determine the exact location of the area requiring treatment</li>,<li>Calibrate and operate the machine to treat the patient with radiation</li>,<li>Monitor the patient to check for unusual reactions to the treatment</li>,<li>Keep detailed records of treatment</li>,<li>Radiation oncologists are <u><a href=""/ooh/healthcare/physicians-and-surgeons.htm"">physicians</a></u> who specialize in radiation therapy</li>,<li>Oncology <u><a href=""/ooh/healthcare/registered-nurses.htm"">nurses</a></u> specialize in caring for patients with cancer</li>,<li>Medical <u><a href=""/ooh/life-physical-and-social-science/physicists-and-astronomers.htm"">physicists</a></u> help in planning of radiation treatments, develop better and safer radiation therapies, and check that radiation output is accurate</li>"
"<p>Special education teachers work with students who have learning, mental, emotional, or physical disabilities. They adapt general education lessons and teach various subjects to students with mild to moderate disabilities. They also teach basic skills to students with severe disabilities.</p>,<p>Special education teachers typically do the following:</p>,<p>Special education teachers work with students from preschool to high school. They instruct students who have mental, emotional, physical, or learning disabilities. For example, some help students develop study skills, such as highlighting text and using flashcards. Others work with students who have physical disabilities and may use a wheelchair or other adaptive devices. Still others work with students who have sensory disabilities, such as visual or hearing impairments. They also may work with those who have autism spectrum disorders or emotional disorders, such as anxiety and depression.</p>,<p>Special education teachers work with general education teachers, specialists, administrators, and parents to develop IEPs. Students’ IEPs outline their goals, including academic or behavioral milestones, and services they are to receive, such as speech therapy. Educators and parents also meet to discuss updates and changes to IEPs.</p>,<p>Special education teachers must be comfortable using and learning new technology. Most use computers to keep records of their students’ performance, prepare lesson plans, and update IEPs. Some teachers also use assistive technology aids, such as Braille writers and computer software, that help them communicate with their students.</p>,<p>Special education teachers’ duties vary by their work setting, students’ disabilities, and specialties.</p>,<p>Some special education teachers work in classrooms or resource centers that include only students with disabilities. In these settings, teachers plan, adapt, and present lessons to meet each student’s needs. They teach students individually or in small groups.</p>,<p>In inclusive classrooms, special education teachers instruct students with disabilities who are in general education classrooms. They work with general education teachers to adapt lessons so that students with disabilities can more easily understand them.</p>,<p>Some special education teachers work with students who have moderate to severe disabilities. These teachers help students, who may be eligible for services until age 21, develop basic life skills. Some teach the skills necessary for students with moderate disabilities to live independently, find a job, and manage money and their time. For more information about other workers who help individuals with disabilities develop skills necessary to live independently, see the profiles on <a href=""/ooh/healthcare/occupational-therapists.htm""><u>occupational therapists</u></a> and <a href=""/ooh/healthcare/occupational-therapy-assistants-and-aides.htm""><u>occupational therapy assistants and aides</u></a>.</p>",    Bachelor's degree,    Special Education Teachers,"<li>Assess students’ skills and determine their educational needs</li>,<li>Adapt general lessons to meet students’ needs</li>,<li>Develop Individualized Education Programs (IEPs) for each student</li>,<li>Plan activities that are specific to each student’s abilities</li>,<li>Teach and mentor students as a class, in small groups, and one-on-one</li>,<li>Implement IEPs, assess students’ performance, and track their progress</li>,<li>Update IEPs throughout the school year to reflect students’ progress and goals</li>,<li>Discuss students’ progress with parents, other teachers, counselors, and administrators</li>,<li>Supervise and mentor teacher assistants who work with students with disabilities</li>,<li>Prepare and help students transition from grade to grade and from school to life outside of school</li>"
"<p>Preschool teachers educate and care for children younger than age 5 who have not yet entered kindergarten. They teach language, motor, and social skills to young children.</p>,<p>Preschool teachers typically do the following:</p>,<p>Young children learn from playing, problem solving, and experimenting. Preschool teachers use play and other instructional techniques to teach children. For example, they use storytelling and rhyming games to teach language and vocabulary. They may help improve children’s social skills by having them work together to build a neighborhood in a sandbox or teach math by having children count when building with blocks.</p>,<p>Preschool teachers work with children from different ethnic, racial, and religious backgrounds. Teachers include topics in their lessons that teach children how to respect people of different backgrounds and cultures.</p>",    Associate's degree,    Preschool Teachers,"<li>Teach children basic skills such as identifying colors, shapes, numbers, and letters</li>,<li>Work with children in groups or one on one, depending on the needs of children and on the subject matter</li>,<li>Plan and carry out a curriculum that focuses on different areas of child development</li>,<li>Organize activities so children can learn about the world, explore interests, and develop skills</li>,<li>Develop schedules and routines to ensure children have enough physical activity and rest</li>,<li>Watch for signs of emotional or developmental problems in each child and bring them to the attention of the child’s parents</li>,<li>Keep records of the children’s progress, routines, and interests, and inform parents about their child’s development</li>"
"<p>Industrial engineers find ways to eliminate wastefulness in production processes. They devise efficient systems that integrate workers, machines, materials, information, and energy to make a product or provide a service.</p>,<p>Industrial engineers typically do the following:</p>,<p>Industrial engineers apply their skills to many different situations, from manufacturing to healthcare systems to business administration. For example, they design systems for</p>,<p>Some industrial engineers, called <strong><em>manufacturing engineers</em></strong>,<strong><em> </em></strong>focus entirely on the automated aspects of manufacturing processes. They design manufacturing systems to optimize the use of computer networks, robots, and materials.</p>,<p>Industrial engineers focus on how to get the work done most efficiently, balancing many factors, such as time, number of workers needed, available technology, actions workers need to take, achieving the end product with no errors, workers’ safety, environmental concerns, and cost.</p>,<p>The versatility of industrial engineers allows them to engage in activities that are useful to a variety of businesses, governments, and nonprofits. For example, industrial engineers engage in supply chain management to help businesses minimize inventory costs, conduct quality assurance activities to help businesses keep their customer bases satisfied, and work in the growing field of project management as industries across the economy seek to control costs and maximize efficiencies.</p>",    Bachelor's degree,    Industrial Engineers,"<li>Review production schedules, engineering specifications, process flows, and other information to understand methods that are applied and activities that take place in manufacturing and services</li>,<li>Figure out how to manufacture parts or products, or deliver services, with maximum efficiency</li>,<li>Develop management control systems to make financial planning and cost analysis more efficient</li>,<li>Enact quality control procedures to resolve production problems or minimize costs</li>,<li>Design control systems to coordinate activities and production planning in order to ensure that products meet quality standards</li>,<li>Confer with clients about product specifications, vendors about purchases, management personnel about manufacturing capabilities, and staff about the status of projects</li>,<li>moving heavy parts within manufacturing plants</li>,<li>delivering goods from a company to customers, including finding the most profitable places to locate manufacturing or processing plants</li>,<li>evaluating job performance</li>,<li>paying workers.</li>"
"<p>Electro-mechanical technicians combine knowledge of mechanical technology with knowledge of electrical and electronic circuits. They operate, test, and maintain unmanned, automated, robotic, or electromechanical equipment.</p>,<p>Electro-mechanical technicians typically do the following:</p>,<p>Electro-mechanical technicians test and operate machines in factories and other worksites. They also analyze and record test results, and prepare written documentation to describe the tests they performed and what the test results were.</p>,<p>Electro-mechanical technicians install, maintain, and repair automated machinery and computer-controlled mechanical systems in industrial settings. This kind of work requires knowledge and training in the application of photonics, the science of light. The technological aspects of the work have to do with the generation, control, and detection of the light waves so that the automated processes can proceed as designed by the engineers.</p>,<p>Electro-mechanical technicians also test, operate, or maintain robotic equipment at worksites. This equipment may include unmanned submarines, aircraft, or similar types of equipment for uses that include oil drilling, deep-ocean exploration, or hazardous-waste removal. These technicians also work on energy projects involving solar power and wind.</p>",    Associate's degree,    Electro-mechanical Technicians,"<li>Read blueprints, schematics, and diagrams to determine the method and sequence of assembly of a part, machine, or piece of equipment</li>,<li>Verify dimensions of parts, using precision measuring instruments, to ensure that specifications are met</li>,<li>Operate metalworking machines to make housings, fittings, and fixtures</li>,<li>Inspect parts for surface defects</li>,<li>Repair and calibrate hydraulic and pneumatic assemblies</li>,<li>Test the performance of electro-mechanical assemblies, using test instruments</li>,<li>Install electronic parts and hardware, using soldering equipment and hand tools</li>,<li>Operate, test, or maintain robotic equipment</li>,<li>Analyze and record test results, and prepare written documentation</li>"
"<p>Elevator installers and repairers install, fix, and maintain elevators, escalators, moving walkways, and other lifts.</p>,<p>Elevator installers and repairers typically do the following:</p>,<p>Elevator installers and repairers, also called <em>elevator constructors</em> or <em>elevator mechanics</em>, assemble, install, maintain, and replace elevators, escalators, chairlifts, moving walkways, and similar equipment in buildings.</p>,<p>Elevator installers and repairers usually specialize in installation, maintenance, or repair work. Maintenance and repair workers generally require greater knowledge of electronics, hydraulics, and electricity than do installers because a large part of maintenance and repair work is troubleshooting. Most elevators have computerized control systems, resulting in more complex systems and troubleshooting than in the past.</p>,<p>After an elevator is installed, workers must regularly maintain and service it to keep the elevator working properly. They generally perform preventive maintenance, such as oiling and greasing moving parts, replacing worn parts, and adjusting equipment for optimal performance. They also troubleshoot and may be called to perform emergency repairs. Workers who specialize in elevator maintenance typically service many of the same elevators on multiple occasions over time.</p>,<p>A service crew usually handles major repairs—for example, replacing cables, elevator doors, or machine bearings. These tasks may require the use of cutting torches or rigging equipment—tools that an elevator repairer would not normally carry. Service crews also perform major modernization and alteration work, such as replacing electric motors, hydraulic pumps, and control panels.</p>",    High school diploma or equivalent,    Elevator Installers and Repairers,"<li>Read and interpret blueprints to determine the layout of system components and to select the equipment needed for installation or repair</li>,<li>Assemble elevator cars, installing each car’s platform, walls, and doors</li>,<li>Connect electrical wiring to control panels and electric motors</li>,<li>Test newly installed equipment to ensure that it meets specifications</li>,<li>Troubleshoot malfunctions in brakes, motors, switches, and control systems</li>,<li>Dismantle elevator or escalator units in order to gain access to remove and replace defective parts, using hoists, ladders, and hand/power tools</li>,<li>Repair and/or replace faulty components in order to return elevator to fully operational status</li>,<li>Conduct preventive maintenance and inspections of elevators and escalators on a scheduled basis to ensure compliance with safety regulations and building codes</li>,<li>Keep service records of all maintenance and repair tasks</li>"
"<p>Labor relations specialists interpret and administer labor contracts regarding issues such as wages and salaries, healthcare, pensions, and union and management practices.</p>,<p>Labor relations specialists typically do the following:</p>,<p>Labor relations specialists work with representatives from a labor union and a company’s management. In addition to leading meetings between the two groups, these specialists draft formal language as part of the collective bargaining process. These contracts are called collective bargaining agreements (CBAs), and they serve as a legal and procedural guide for employee/management relations.</p>,<p>Labor relations specialists also address specific grievances workers might have, and ensure that all labor and management solutions comply within the relevant CBA.</p>",    Bachelor's degree,    Labor Relations Specialists,"<li>Advise management on contracts, worker grievances, and disciplinary procedures</li>,<li>Lead meetings between management and labor</li>,<li>Meet with union representatives</li>,<li>Draft proposals and rules or regulations</li>,<li>Ensure that human resources policies are consistent with union agreements</li>,<li>Interpret formal communications between management and labor</li>,<li>Investigate validity of labor grievances</li>,<li>Train management on labor relations</li>"
